Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;
sugar_RGO_SIZE;Sugarcane plantation size;;;;;;;;;
sugar;Sugar;;;;;;;;;
RGS_conservative;Partido Conservador;;;;;;;;;
RGS_liberal;Partido Federalista;;;;;;;;;
RGS_socialist;Partido Socialista Rio-grandense;;;;;;;;;
RGS_communist;Partido Popular;;;;;;;;;
RGS_reactionary;Partido Republicano Rio-grandense;;;;;;;;;
RGS_radical;Partido Libertador;;;;;;;;;
RGS_fascist;Partido dos Pampas;;;;;;;;;
TBZ_ADJ:Tabriz;;;;;;;;;
patagonian;Patagonian Native;;;;;;;;;
colonial_company_2;Autonomous Dependency;;;;;;;;;
colonial_company_2_ruler;Governor;;;;;;;;;
colonial_company_3;Autonomous Dependency;;;;;;;;;
colonial_company_3_ruler;Governor;;;;;;;;;
colonial_company_4;Autonomous Dependency;;;;;;;;;
colonial_company_4_ruler;Governor;;;;;;;;;
french_guyana_purchase_title;Purchase French Guyana;;;;;;;;;
french_guyana_purchase_desc;Now that we've recovered our lost lands in the south, we must seek to consolidate our influence in the north. We will offer to buy one of the European colonies in the Guyana region.;;;;;;;;;
suriname_purchase_title;Purchase Suriname;;;;;;;;;
suriname_purchase_desc;Now that we've succeeded in buying one of the European colonies in the Guyanas, we must seek to consolidate our influence in the region even further. To that end, we will offer to buy another one of the European colonies in the Guyana region.;;;;;;;;;
guyana_purchase_title;Purchase Guyana;;;;;;;;;
guyana_purchase_desc;Now that we've succeeded in buying two of the European colonies in the Guyanas, we must seek to assert our hegemony in the region. To that end, we will offer to buy the last of the European colonies in the Guyana region.;;;;;;;;;
lei_de_terras_title;Lei de Terras;;;;;;;;;
lei_de_terras_desc;A restructuring of the private land ownership system has been proposed to our government, something that, until this moment, has not been regulated by any specific legal document. In the Senate, a debate has erupted between ruralists who want to make government-owned land only available by purchase and advocates of promotion of immigration who want to create colonization programs to give away land to settlers and increase our control of the interior. Their proposed legislation, the Lei de Terras, would guarantee the fluidity of credit necessary to maintain agricultural productivity and promote the institutionalization of land, labor, and capital markets, consolidating a conservative modernization model.;;;;;;;;;
EVTNAME97071;Offer to sell our Guyana colonies;;;;;;;;;
EVT97071PTA;We agree to the deal.;;;;;;;;;
EVT97071PTB;We won't sell our rightful land!;;;;;;;;;
EVTNAME97072;A successful deal;;;;;;;;;
EVT97072PTA;Huzzah!;;;;;;;;;
EVTNAME97073;A unsuccessful deal;;;;;;;;;
EVT97073PTA;What a shame indeed.;;;;;;;;;
angola_purchase_title;The Angola Purchase;;;;;;;;;
angola_purchase_desc;Angola is a long-established Portuguese colony in eastern Africa on the other side of the Atlantic. Our rising position on the global stage makes it tempting to expand our borders beyond South America. Perhaps we can negotiate to buy Angola, giving us an advantage over Portugal, our former colonial master.;;;;;;;;;
EVTNAME47074;Brazil Offers to Purchase Angola;;;;;;;;;
EVT47074PTA;That price is tempting.;;;;;;;;;
EVT47074PTB;Angola is ours. Its status is non-negotiable.;;;;;;;;;
EVTNAME47075;Portugal Accepts the Angola Purchase;;;;;;;;;
EVT47075PTA;The world will know Brazil's might!;;;;;;;;;
EVTNAME47076;Portugal Rejects the Angola Purchase;;;;;;;;;
EVT47076PTA;We take it back. Portugal won't get a say in Angola's fate.;;;;;;;;;
EVTNAME47077;Nina Rodrigues;;;;;;;;;
ptg_cleanup_title;Obtain control over Patagonia;;;;;;;;;
ptg_cleanup_desc;Now that we're free and backed by the French, nothing can prevent us from acquiring our righteous land!;;;;;;;;;
fra_falklands_ptg_title;Claim the Malouines and Géorgie du Sud;;;;;;;;;
fra_falklands_ptg_desc;§RGain 1.5 infamy§! Now that Patagonia is our satellite, we have a perfect jumping-off point to capture the îles Malouines and Géorgie du Sud. They are, as we all know, rightfully French.;;;;;;;;;
AGRESSION_CUT_DOWN_TO_SIZE_NO_INFAMY_WAR_NAME_FRA_CHL;The Liberation of Araucanie;;;;;;;;;
NORMAL_CUT_DOWN_TO_SIZE_NO_INFAMY_WAR_NAME_FRA_CHL;The Liberation of Araucanie;;;;;;;;;
rio_branco_colony_desc;\n\nFor years the Forte de São Joachim has been abandoned. If we want to maintain our claims in Rio Branco, we need to revive such efforts by transforming it into a military colony. Countries that currently claim the region might not be too happy about this.;;;;;;;;;
sao_francisco_transfer_title;The Transposing of the São Francisco River;;;;;;;;;
sao_francisco_transfer_desc;The São Francisco river, born in the province of Minas Gerais, travels north into the semi-arid Northeast of the country. Some have proposed we transpose the waters of this river to help citizens living in the dry Caatinga and other areas alike, as it could very well save the population of the Northeast in the future.;;;;;;;;;
sao_francisco_transposition;Transposing of the São Francisco river;;;;;;;;;
sao_francisco_transposition_desc;The waters of the Rio São Francisco are now being used to ease the pains of the arid Caatinga;;;;;;;;;
paa_brz_win_desc;The Cabanos have been put down and the Braziliam Army reigns supreme over Grão-Pará.;;;;;;;;;
rgs_larp_title;Conquer the southern Paraná;;;;;;;;;
rgs_larp_desc;Now that we're free, we must free our brothers in the southern Paraná river. We shall reunite with Uruguay once more and expand towards the Mospotamia region west of the Paraná river!;;;;;;;;;
farrapos_win_desc;We have reached Rio! The Empire of Brazil has no bargaining power against us now. They'll have to accept all of our demands! Viva a Republica de Piratini!;;;;;;;;;
sp_rgs_railway_title;The São Paulo - Rio Grande Railway;;;;;;;;;
