Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
IS_IN_REGION; is in the region ;Est dans la région;Ist in der Region ;;Está en la región;;;;;;;;;
kobu_gattai_title;Kobu Gattai;;;;;;;;;;;;;
fukoku_kyohei;Fukoku Kyohei;;;;;;;;;;;;;
PROV2745;Gulf of Cádiz;Golfe de Cadix;Golf von Cadiz;;Golfo de Cádiz;;;;;;;;;
EVTNAME10223;Louis-Napoleon's Coup d'Etat;;;;;;;;;;;;;
EVTDESC10223;Facing_the_prospect_of_losing_the_presidential_election,_the_popular_Louis-Napoleon_has_launched_a_coup_d'etat_and_overthrown_the_French_government._Loyal_members_of_the_army_have_locked_down_strategic_locations_in_Paris,_and_the_Assemblée_Nationale_has_been_dissolved,_leaving_Louis-Napoleon_as_the_undisputed_ruler_of_the_country._He_has_been_christened_Napoléon_III,_regaining_his_uncle's_throne_as_the_Emperor_of_France.;;;;;;;;;;;;;
EVTNAME10224;Emperor Napoleon Deposed;;;;;;;;;;;;;
EVTDESC10224;Angered_by_the_inability_of_France_to_prevent_the_formation_of_Germany,_as_well_as_the_humiliating_loss_of_Alsace-Lorraine,_the_government_has_deposed_Emperor_Napoleon._We_must_choose_what_form_our_new_government_is_to_take.;;;;;;;;;;;;;
EVTNAME11108;Slavic Unification;;;;;;;;;;;;;
EVTDESC11108;The_call_has_gone_out_for_the_Slavic_nations_of_the_Balkans_to_finally_unite_under_a_common_banner,_to_resist_the_encroachment_of_the_Austrians_and_Turks_as_well_as_other_European_powers._Yugoslavia,_it_is_said,_will_be_a_power_to_rival_even_its_most_powerful_neighbors._Whether_this_new_nation_would_succeed_in_holding_together_a_people_divided_by_centuries_of_bitter_warfare_is_best_left_for_speculation.;;;;;;;;;;;;;
EVTOPTA13000;We will allow the westerners into $COUNTRY$, so long as they cause no trouble.;;;;;;;;;;;;;
EVTOPTB13000;They bring dangerous ideas. $COUNTRY$ will refuse them all access.;;;;;;;;;;;;;
EVTNAME13010;Shipwrecked Sailors;Les naufragés;Schiffsbrüchige Matrosen;;Marineros naufragados;;;;;;;;;
EVTDESC13010;\n\nAn_old_pond\nA_frog_jumps_in\nThe_sound_of_water.\n--_Matsuo_Basho\n\nOne_of_our_coastal_provinces_is_bustling_with_rumors_about_the_strange_people_who_were_found_along_its_shorelines_earlier_this_morning._The_more_precise_origin_of_these_shipwrecked_sailors_is_as_of_yet_uncertain,_but,_wherever_they_are_from,_they_are_definitely_not_from_our_country._The_difficulty_now_lies_in_deciding_what_to_do_with_them:_if_we_send_them_home,_we_are_effectively_changing_our_policy_of_non-interaction_with_the_westerners._Ignoring_them_and_allowing_them_to_stay,_however,_means_permitting_a_western_presence_despite_all_our_efforts.;;;;;;;;;;;;;
