Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
the_watchers_on_the_wall;Crises Disabled;;;;;;;;;;;;;
government_of_india_act;Government of India Act;;;;;;;;;;;;;
religious_insurrection;Religious Insurrection;;;;;;;;;;;;;
secessionist_agitation;Secessionist Agitation;;;;;;;;;;;;;
the_sell_of_saint_barthelemy_title;The Fate of West Indies;;;;;;;;;;;;;
the_sell_of_saint_barthelemy_desc;We acquired the island of Saint Barthelemy from the French in 1784 during American Revolutionary War. Grown prosperous due to the production of cotton, sugar and tobacco, as well as its excellent trade harbor. However over time trade routes have shifted and the once busy harbor is now quiet. No longer as prosperous as it once was, perhaps we should ask the French if they would like to reacquire the island?;;;;;;;;;;;;;
the_libyan_desert_demarcation_title;The Libyan Desert Boundary Commission;;;;;;;;;;;;;
the_libyan_desert_demarcation_desc;With the colonization of Africa speeding up one of the last areas still untouched by Western Imperialism are the great deserts of North Africa. Barely habitable and of little colonial interest, it has been suggested we organize a committee to divide the Libyan Desert among the states surrounding at and demarcate the borders.;;;;;;;;;;;;;
monopolising_the_coromandel_coast_title;Consolidating The Coromandel Coast;;;;;;;;;;;;;
monopolising_the_coromandel_coast_desc;European powers settled the Coromandel Coast in the 17th and 18th century in an effort to control the Indian trade. As we've come to dominate the Indian subcontinent -and the Indian trade with it- these posts have become mostly become worthless to the other powers, often even a drain on the treasure. Perhaps we should approach them and offer to take this burden of their hands, and at the same time reduce foreign influence on the Indian subcontinent?;;;;;;;;;;;;;
the_goldsmith_arbitration_title;The Goldsmith Arbitration;;;;;;;;;;;;;
the_goldsmith_arbitration_desc;Over the past few years we've steadily been increasing our influence in the tribal lands of Baluchistan. In doing so we've come into conflict with Persia, who claim the region belongs to them. While Persia is in no position to resist us, it might be best to settle the question of whom Baluchistan belongs to through international arbitration.;;;;;;;;;;;;;
the_northern_arabian_borders_title;Finalize the Northern Borders;;;;;;;;;;;;;
the_northern_arabian_borders_desc;The Al-Nefud and Syrian desert form the natural borders to the north. Barely inhabited, or indeed habitable, for administrative purposes a line has to be drawn through the desert. The question is where?;;;;;;;;;;;;;
the_southern_arabian_borders_title;Finalize the Southern Borders;;;;;;;;;;;;;
the_southern_arabian_borders_desc;The Great Rub'al Khali desert separates us from the Indian Ocean and the states on its coast. Barely inhabited, or indeed habitable, for administrative purposes a border between us and the Indian Ocean States has to be drawn somewhere.;;;;;;;;;;;;;
become_uzbekistan_bukkhara_title;Unify the Uzbek Tribes;;;;;;;;;;;;;
become_uzbekistan_bukkhara_desc;We must unite the Uzbeks into a single state, with sovereignty over all our ancestral land. Under Uzbek leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;
the_kyzylkum_desert_title;The Kyzylkum;;;;;;;;;;;;;
the_kyzylkum_desert_desc;Endless and endless expanses of red sand, only interrupted by the occasional oasis. It has no value but for the caravans crossing it. [requires 50% civilization progress];;;;;;;;;;;;;
the_karakum_desert_title;The Karakum;;;;;;;;;;;;;
the_karakum_desert_desc;The Great Karakum. Completely uninhabitable and completely worthless. Its only use is for caravans to cross. These caravans are however of great value, and he who controls the trading cities, controls the caravans... [requires 50% civilization progress];;;;;;;;;;;;;
EVTNAME2001;Ethnic Flavor;;;;;;;;;;;;;
EVTDESC2001;Foreign_immigrants_arriving_in_new_countries_often_find_themselves_living_together_concentrated_in_relatively_small_areas,_living_in_close_proximity_to,_and_seeking_mutual_support_from,_their_national_brethren,_often_forming_little_'ethnic_enclaves',_such_as_New_York's_'Little_Italy'._$PROVINCENAME$_is_no_exception,_as_the_immigrant_community_there_has_formed_a_just_such_a_thing,_complete_with_all_the_cultural,_linguistic_and_culinary_flavors_of_the_immigrants'_homeland;Les_immigrants_étrangers_en_provenance_de_nouveaux_pays_avaient_tendance_à_se_concentrer_dans_des_quartiers_relativement_restreints_et_à_vivre_à_proximité_les_uns_des_autres_pour_se_soutenir,_créant_ainsi_de_petites_"enclaves_ethniques"_comme_"Little_Italy"_à_New_York._$PROVINCENAME$_n'y_fait_pas_exception_et_cette_communauté_d'immigrants_y_a_réinstauré_les_notes_culturelles,_linguistiques_et_culinaire_de_sa_terre_natale.;Ausländische_Einwanderer_finden_sich_in_ihren_neuen_Ländern_häufig_stark_konzentriert_in_relativ_kleinen_Gebieten_wieder,_wo_sie_in_enger_Nachbarschaft_zu_ihren_Landsleuten_leben_und_sich_mit_diesen_gegenseitige_Unterstützung_bieten._Oftmals_bilden_sie_'ethnische_Enklaven',_wie_beispielsweise_New_Yorks_'Little_Italy'._$PROVINCENAME$_ist_da_keine_Ausnahme,_da_die_Einwanderergemeinde_dort_gerade_solch_eine_Enklave_mit_allen_kulturellen,_linguistischen_und_kulinarischen_Aspekten_ihres_Heimatlandes_gebildet_hat.;;Los_inmigrantes_extranjeros_que_llegan_a_nuevos_países_suelen_encontrarse_viviendo_en_zonas_concentradas_de_una_extensión_relativamente_pequeña._Allí,_viven_en_vecindad_con_sus_paisanos_para_darse_apoyo_mutuo,_formando_'enclaves_étnicos',_como_la_'Pequeña_Italia',_en_Nueva_York._$PROVINCENAME$_no_es_una_excepción,_ya_que_la_comunidad_de_inmigrantes_ha_organizado_algo_similar,_completada_con_todos_los_rasgos_culturales,_lingüísticos_y_culinarios_de_su_tierra_natal.;;;;;;;;;
