Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PRO_REACTIONARY;PRO-REACTIONARY ;;;;;;;;;;;;;
PRO_SOCIALIST;PRO-SOCIALIST ;;;;;;;;;;;;;
PRO_FASCIST;PRO-FASCIST ;;;;;;;;;;;;;
PRO_LIBERAL;LIBERAL ;;;;;;;;;;;;;
PRO_COMMIES;PRO-COMMUNIST ;;;;;;;;;;;;;
EVTDESC169001_NEWS_LONG;$CAPITAL$,_$YEAR$:_Like_the_death_throes_of_a_wild_beast_are_the_frantic_efforts_of_the_ruling_party_in_$COUNTRY$_to_destroy_their_fellow_countrymen-those_who_are_of_a_different_culture_or_opposing_faith._The_horrors_of_this_march_of_death_have_been_told_only_in_part._They_can_not_be_fully_described._$COUNTRY$_is_gradually_but_effectively_exterminating_people_-_the_population_of_whole_villages_are_gone._An_appeal_for_relief,_following_reported_massacres_and_threatened_further_outrages,_was_made_to_the_$COUNTRY_ADJ$_Government_today_by_government_officials.;;;;;;;;;;;;;
EVTDESC169001_NEWS_MEDIUM;The_$COUNTRY_ADJ$_state_is_gradually_but_effectively_exterminating_people_-_the_population_of_whole_villages_are_gone_-_more_atrocities_detailed_in_support_of_charge_that_$COUNTRY$_is_acting_deliberately.;;;;;;;;;;;;;
EVTDESC169001_NEWS_SHORT;$CAPITAL$,_$YEAR$:_$COUNTRY$_accused_of_plan_to_exterminate_population,_committee_on_relief_says_victims_are_steadily_increasing.;;;;;;;;;;;;;
ARMENIAN_GENOCIDE_NEWS_TITLE;Million Armenians Killed or in Exile;;;;;;;;;;;;;
ARMENIAN_GENOCIDE_NEWS_LONG;On the basis of all the reports and news coming there hardly can be any doubt that the Turks are aiming at the extermination of the few hundred thousand Armenians whom they left alive until now. The Turks have embarked upon the total extermination of the Armenians in Transcaucasia. The aim of Turkish policy is the taking of possession of Armenian districts and the extermination of the Armenians. The Great Powers are slowly moving and watching as the world watches the killings escalate and spill to other Orthodox communities.;;;;;;;;;;;;;
ARMENIAN_GENOCIDE_NEWS_MEDIUM;Recent developments point out that the aim of the current Turkish policy is taking possession of Armenian districts and the extermination of the Armenians. The Great Powers are slowly moving and watching as the world watches the killings escalate and spill to other Orthodox communities.;;;;;;;;;;;;;
ARMENIAN_GENOCIDE_NEWS_SHORT;$COUNTRY_ADJ$ Committee on relief says victims of Turks are steadily increasing.;;;;;;;;;;;;;
EVTDESC36940_NEWS_LONG;$COUNTRY$:_A_treaty_formalizing_the_nation_of_New_Zealand_was_signed,_wherein_the_Maori_Chiefs_recognized_the_sovereignty_of_$COUNTRY$,_and_in_turn_she_guaranteed_the_chiefs_their_lands,_estates,_forests_and_fisheries._Maori_and_$COUNTRY_ADJ$_versions_of_the_signed_document_differ,_leaving_doubt_about_what_was_actually_agreed_upon._While_the_$COUNTRY_ADJ$_claim_Maori_agreed_to_governor's_rule_over_them,_the_Maori_version_of_the_treaty_states_they_should_retain_a_large_degree_of_autonomy_and_self-governance_allowing_them_to_manage_their_own_affairs.;;;;;;;;;;;;;
EVTDESC36940_NEWS_MEDIUM;$COUNTRY$:_A_treaty_formalizing_the_nation_of_New_Zealand_was_signed,_wherein_the_Maori_Chiefs_recognized_the_sovereignty_of_$COUNTRY$,_and_in_turn_she_guaranteed_the_chiefs_their_lands,_estates,_forests_and_fisheries.;;;;;;;;;;;;;
EVTDESC36940_NEWS_SHORT;$COUNTRY$:_A_treaty_formalizing_the_nation_of_New_Zealand_was_signed,_wherein_the_Maori_Chiefs_recognized_the_sovereignty_of_$COUNTRY$.;;;;;;;;;;;;;
EVTDESC36941_NEWS_LONG;$COUNTRY$:_Disenchanted_with_$COUNTRY_ADJ$_attitudes,_Maori_Chief_Hone_Heke_had_the_flagstaff_in_Kororareka_repeatedly_chopped_down_in_protest_leading_to_what_is_known_as_the_First_Maori_War._Resilient_and_emboldened_by_early_successes,_but_strained_economically,_with_dwindling_food_supplies_and_victims_to_many_epidemic_deaths,_Maori_chiefs_eventually_asked_for_ceasefire._The_$COUNTRY_ADJ$_maintained_their_sovereignty_over_New_Zealand,_but_rebellious_Maori_chiefs_raised_their_position_higher_than_it_ever_was,_gaining_substantial_amounts_of_respect_among_all_tribes.;;;;;;;;;;;;;
EVTDESC36941_NEWS_MEDIUM;$COUNTRY$:_Disenchanted_with_$COUNTRY_ADJ$_attitudes,_Maori_Chief_Hone_Heke_had_the_flagstaff_in_Kororareka_repeatedly_chopped_down_in_protest_leading_to_what_is_known_as_the_First_Maori_War._Rebellious_chiefs_earned_respect_but_didn't_manage_to_overthrow_the_$COUNTRY_ADJ$.;;;;;;;;;;;;;
EVTDESC36941_NEWS_SHORT;$COUNTRY$:_Disenchanted_with_$COUNTRY_ADJ$_attitudes,_Maori_Chief_Hone_Heke_had_the_flagstaff_in_Kororareka_repeatedly_chopped_down_in_protest_leading_to_the_First_Maori_War.;;;;;;;;;;;;;
EVTDESC31100_NEWS_LONG;A_$COUNTRY_ADJ$_archaeologist_unearthed_the_remains_of_the_lost_city_of_Troy_in_Anatolia._This_discovery_led_to_an_explosion_of_talent_in_archaeology_and_captured_the_imagination_of_millions._When_he_excavated_the_hills_in_Hisarlik,_he_uncovered_a_number_of_ancient_cities,_dating_back_from_the_Bronze_Age_to_the_Roman_times._His_finds_at_the_site_were_named_Priam's_Treasure_and_acquired_by_$CAPITAL$_museums._His_archaeological_effort_was_inspired_by_a_British_diplomat,_Frank_Calvert,_who_spent_over_six_decades_conducting_field_work_in_the_area.;;;;;;;;;;;;;
EVTDESC31100_NEWS_MEDIUM;A_$COUNTRY_ADJ$_archaeologist_unearthed_the_remains_of_the_lost_city_of_Troy_in_Anatolia._This_discovery_led_to_an_explosion_of_talent_in_archaeology_and_captured_the_imagination_of_millions._His_finds_at_the_site_were_named_Priam's_Treasure_and_acquired_by_$CAPITAL$_museums.;;;;;;;;;;;;;
EVTDESC31100_NEWS_SHORT;A_$COUNTRY_ADJ$_archaeologist_unearthed_the_remains_of_the_lost_city_of_Troy_in_Anatolia._This_discovery_led_to_an_explosion_in_archaeology_and_captured_the_imagination_of_millions.;;;;;;;;;;;;;
EVTDESC46800_NEWS_LONG;A_$COUNTRY_ADJ$_explorer_discovered_the_remains_of_the_lost_Inca_city_of_Machu_Picchu_in_$YEAR$._Constructed_in_the_first_half_of_the_15th_century,_at_the_height_of_the_power_of_the_Inca_Empire,_the_citadel_is_believed_to_have_been_the_estate_of_the_Inca_emperor_Pachacuti,_though_some_archaeologists_also_suggested_it_might_have_had_purely_religious_character._The_$COUNTRY_ADJ$_explorers_were_the_subject_of_controversy,_accused_by_Peruvian_locals_of_stealing_their_cultural_heritage,_when_attempting_to_transport_recovered_artifacts_to_$COUNTRY$_for_closer_examination.;;;;;;;;;;;;;
EVTDESC46800_NEWS_MEDIUM;A_$COUNTRY_ADJ$_explorer_discovered_the_remains_of_the_lost_Inca_city_of_Machu_Picchu_in_$YEAR$._Constructed_in_the_first_half_of_the_15th_century,_at_the_height_of_the_power_of_the_Inca_Empire,_the_citadel_is_believed_to_have_been_the_estate_of_the_Inca_emperor_Pachacuti.;;;;;;;;;;;;;
EVTDESC46800_NEWS_SHORT;A_$COUNTRY_ADJ$_explorer_discovered_the_remains_of_the_lost_Inca_city_of_Machu_Picchu_in_$YEAR$,_dating_back_to_the_15th_century,_the_height_of_power_of_the_Inca_Empire.;;;;;;;;;;;;;
EVTDESC110023_NEWS_TITLE;The_Peacock_Throne;;;;;;;;;;;;;
EVTDESC110023_NEWS_LONG;Iran,_the_cradle_of_civilization_-_the_chickens_appear_to_have_come_home_to_roost_today_as_members_of_diplomatic_circles_are_in_general_agreement_that_the_nation_of_Persia_can_be_counted_among_the_great_powers_of_the_world._Since_coming_into_contact_with_western_influences_years_ago,_the_industrious_people_of_Persia_have_made_sweeping_advances_in_the_fields_of_culture,_industry_and_military_prowess_and_can_no_longer_be_dismissed_as_backward_savages._Geopolitical_experts_have_expressed_concerns_that_the_new_Persia_could_attempt_expansion_through_Asia_and_beyond.;;;;;;;;;;;;;
EVTDESC110023_NEWS_MEDIUM;Diplomatic_circles_are_in_agreement_that_Persia_can_be_counted_among_the_great_powers_of_the_world._The_industrious_Persian_people_have_made_sweeping_advances_in_the_fields_of_culture,_industry_and_military_and_can_now_no_longer_be_dismissed_as_filthy,_backward_savages.;;;;;;;;;;;;;
EVTDESC110023_NEWS_SHORT;Diplomatic_circles_now_agree_that_Persia_can_be_counted_among_the_great_powers_of_the_world._The_Persian_people_have_made_sweeping_advances_and_can_no_longer_be_dismissed_as_backward_savages.;;;;;;;;;;;;;
EVTDESC110060_NEWS_TITLE;The_Bear_Flag_Revolt;;;;;;;;;;;;;
EVTDESC110060_NEWS_LONG;Once_again,_Mexico_is_being_pulled_apart_by_infighting:_when_it_is_not_Texas,_Yucatan_or_Rio_Grande_showing_their_hostility_toward_the_central_administration,_it_is_now_the_turn_of_California_to_oppose_the_government_of_Mexico_City._Conflict_arose_amidst_immigration_issues,_land_distribution_disputes_and_rising_tensions_with_the_US._Mexican_officials,_afraid_of_the_seemingly_endless_influx_of_illegal_American_immigrants,_waved_the_threat_of_expulsion_in_the_face_of_the_large_land-owners_of_the_region._No_more_was_needed_and,_shortly_after,_they_declared_the_unilateral_secession_of_the_Republic_of_California.;;;;;;;;;;;;;
EVTDESC110060_NEWS_MEDIUM;Immigration_issues_and_rising_tensions_with_the_US_are_at_the_heart_of_Mexico's_latest_rebellion._When_the_central_government_threatened_expulsion_from_the_territory,_California's_wealthy_American_immigrants_decide_to_have_none_of_it_and_declared_unilateral_secession,_flying_high_the_Grizzly_Bear_flag_of_the_new_republic.;;;;;;;;;;;;;
EVTDESC110060_NEWS_SHORT;Tension_with_the_US_in_on_the_rise_again_in_Mexico_where_immigration_disputes_between_California's_immigrants_and_the_central_government_motivated_the_former_to_secede_from_the_latter.;;;;;;;;;;;;;
EVTNAME110078_NEWS_TITLE;Jack the Ripper;;;;;;;;;;;;;
EVTDESC110078_NEWS_LONG;A_troubled_man_known_under_the_alias_'Jack_the_Ripper'_is_committing_serial_murders_in_the_London_area._Targeting_women_from_the_poor_parts_of_the_city,_the_degenerate_uses_a_gruesome,_inhuman_modus_operandi,_cutting_their_throats_prior_to_abdominal_mutilations._George_Lusk_of_the_Whitechapel_Vigilance_Committee_received_a_letter_titled_'From_Hell'_which_included_half_of_a_preserved_human_kidney,_purportedly_taken_from_one_of_the_victims._People_are_pressing_Scotland_Yard_to_answer_questions_and_find_the_criminal._The_government_has,_for_the_moment,_made_no_comment_on_the_issue.;;;;;;;;;;;;;
EVTDESC110078_NEWS_MEDIUM;A_troubled_man_known_under_the_alias_'Jack_the_Ripper'_is_committing_serial_murders_in_the_London_area._Targeting_women_from_the_poor_parts_of_the_city,_the_degenerate_uses_a_gruesome,_inhuman_modus_operandi,_cutting_their_throats_prior_to_abdominal_mutilations._People_are_pressing_Scotland_Yard_to_answer_questions_and_find_the_criminal._The_government_has,_for_the_moment,_made_no_comment_on_the_issue.;;;;;;;;;;;;;
EVTDESC110078_NEWS_SHORT;A_troubled_man_known_under_the_alias_'Jack_the_Ripper'_is_committing_serial_murders_in_the_London_area._The_government_has,_for_the_moment,_made_no_comment_on_the_issue.;;;;;;;;;;;;;
EVTNAME110042_NEWS_TITLE;Persian Constitutional Revolution;;;;;;;;;;;;;
