Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
goldentitle;The Golden Law;;;;;;;;;;;;;
goldendesc;The Lei Áurea (Golden Law) was sanctioned by Isabel, Imperial Princess of Brazil, who was regent at the time while her father, Emperor Dom Pedro II, was in Europe. It was signed in $YEAR$ and was the law that abolished slavery in Brazil. It had only two articles. The succinctness of the law was intended to make clear that there were no conditions of any kind to the freeing of all slaves. Aside from the activities of abolitionists, there were a number of reasons for the signing of the law: slavery was no longer profitable, as the wages of European immigrants, whose working conditions were poor, cost less than the upkeep of slaves, and the decline in the arrival of new slaves - Brazil was the last country in the Western world to abolish slavery. The Brazilian government was also under pressure from Britain, who sought to end the slave trade in order to expand production in its own colonies.;;;;;;;;;;;;;
goldenopt2;Free slaves?! In *my* country? Revoke this useless law!;;;;;;;;;;;;;
goldenopt1;Article 1: From this date, slavery is declared abolished in Brazil.;;;;;;;;;;;;;
frajulytitle;Downfall of the July Monarchy!;;;;;;;;;;;;;
frajulydesc;The republicans had never forgiven Louis-Philippe for 'confiscating' their revolution in 1830. The urban workers, moved by their misery and by the powerful social myths engendered by the Revolution of 1789, remained unreconciled. Beginning in 1847, the leaders of the opposition set out to take advantage of this restless mood and to force the regime to grant liberal reforms. Since public political meetings were illegal, they undertook a series of political 'banquets' to mobilize the forces of discontent. This campaign was to be climaxed by a mammoth banquet in Paris on February 22, 1848. But the government, fearing violence, ordered the affair canceled. On the 22nd, crowds of protesting students and workers gathered in the streets and began to clash with the police and by the morning of February 24, the angry crowd was threatening the royal palace. Louis-Philippe, confronted by the prospect of civil war, hesitated and then retreated once more. What will the king do?;;;;;;;;;;;;;
frajulyopt1;It is distasteful, but I will abdicate for the good of France.;;;;;;;;;;;;;
frajulyopt2;The House of Orleans shall ever rule France!;;;;;;;;;;;;;
f2empiretitle;Establishment of the Second French Empire;;;;;;;;;;;;;
f2empiredesc;In 1848, the voters of the second French Republic choose Louis-Napoléon Bonaparte, who had returned from British exile in September, as their president. During the next two years, President Bonaparte played his cards carefully, trying to win the hearts of the the Roman catholics and the population. During his mandate, his efforts to please the assembly probably derived from his hope that the assembly would reciprocate: he wanted funds from the treasury to pay his personal debts and run his household, along with a constitutional amendment that would allow him to run for a second term. By 1851 it was clear that the majority of the assembly was not ready to give the president what he wanted. Louis-Napoléon didn't want to step down and proceeded with a plebiscite to emend the constitution. At the same time, officially inspired petitions for a restoration of the empire began to flow to Paris. The Senate responded to what it described as the nation's desires, and on December 2, 1852...;;;;;;;;;;;;;
nappy3deptitle;Napoleon III Deposed!;;;;;;;;;;;;;
nappy3depdesc;After the start of the Franco-Prussian war on July 19, 1870, few French or foreign observers anticipated the military disaster that followed. The French armies, sunk in routine and slow to mobilize, were not yet ready to fight when the Prussian forces under Helmuth von Moltke crossed into France. One French army, under Achille-François Bazaine, was bottled up in Metz. Another, under Patrice de Mac-Mahon, was cornered at Sedan. There, on September 1, the Prussians won a clear-cut victory: Napoleon III himself was taken prisoner. The regime could not survive such a humiliation. When the news reached Paris on September 4, crowds filled the streets and converged on the Corps Législatif, demanding the proclamation of a republic. The imperial officials...;;;;;;;;;;;;;
nappy3opt1;put up no serious resistance: the revolution was the most bloodless in French history.;;;;;;;;;;;;;
nappy3opt2;...suppressed the mob, guaranteeing the permanence of the monarchy.;;;;;;;;;;;;;
argsectitle;The 1853 Constituent Assembly;;;;;;;;;;;;;
argsecdesc;Argentinian dictator, Juan Manuel de Rosas, stayed in power for more than twenty years. This fact was partly because of the weakness of Argentina's natural rival in the Río de la Plata area, Brazil, which had been involved in a civil war (1835-45) in Rio Grande do Sul. Once the rebellion was put down, it was only a question of time until Brazil again influenced the Río de la Plata region. This influence opposed Rosas, and it worked in support of a rebellion by General Justo José de Urquiza, governor of the province of Entre Ríos. In 1851 Urquiza formed an alliance with Brazil and Uruguay. The allies defeated his main army in the Battle of Caseros, just outside Buenos Aires. Thus the Platine War came to an end. Rosas, escaped to England, where he died in 1877. General Urquiza called a constitutional convention in 1852 and the convention adopted a constitution that went into effect on May 25, 1853. The first elected president was Urquiza and the first capital was Paraná.;;;;;;;;;;;;;
argsecopt1;Viva Urquiza! Viva la democracia!;;;;;;;;;;;;;
argsecopt2;pressure the new constitution to be dropped.;;;;;;;;;;;;;
EVTNAME55560;The Weimar Republic;;;;;;;;;;;;;
EVTDESC55560;After_the_loss_of_Alsace-Lorraine,_the_republic_that_was_proclaimed_early_in_the_afternoon_of_Saturday,_November_9,_1918,_is_often_called_the_'accidental_republic'._When_Friedrich_Ebert,_the_leader_of_the_so-called_Majority_Socialists,_accepted_the_imperial_chancellorship_from_Max_von_Baden,_it_was_with_the_understanding_that_he_would_do_his_utmost_to_save_the_imperial_system_from_revolution._Ebert_believed_that_the_only_way_to_accomplish_this_would_be_by_transforming_Germany_into_a_constitutional_monarchy._Elections_would_have_to_be_held_for_a_constituent_assembly,_whose_task_it_would_be_to_draw_up_a_new_constitution...;;;;;;;;;;;;;
EVTNAME50004;The Shift to Liberalism!;;;;;;;;;;;;;
EVTDESC50004;García_Moreno's_death_in_1875,_as_he_himself_might_have_forecast,_brought_a_period_of_near_anarchy._Conservatives_and_liberals_struggled_for_power._But_Ecuador_had_become_part_of_the_world_market:_the_importance_of_the_coast_slowly_increased,_and_the_liberals_of_that_area_increasingly_dominated_the_economy._A_new_liberal_hero_emerged_from_the_lower_classes_as_the_leader_of_the_coastal_reaction_to_Sierra_conservatism_and_clericalism._A_man_of_great_personal_magnetism,_Gen._Eloy_Alfaro_led_a_march_against_the_Sierra_in_$YEAR$_and_after_a_year...;;;;;;;;;;;;;
EVTNAME50005;The Liberal Constitution;;;;;;;;;;;;;
EVTDESC50005;\n\nSolano_López_died_in_combat._Paraguay_lay_ruins,_with_more_than_half_of_its_former_population_dead._This_brought_the_end_of_the_War_of_the_Triple_Alliance_in_$YEAR$_and_under_a_liberal_constitution_promulgated_in_$YEAR$,_Paraguay_began_a_painful_reconstruction._The_constitution...;;;;;;;;;;;;;
EVTNAME50006;The Democratic Stability;;;;;;;;;;;;;
EVTDESC50006;After_the_War_of_the_Pacific,_a_vigorous_debate_among_civilian_elites_spawned_the_development_of_new_political_parties._Mining_entrepreneurs,_who_had_become_the_most_important_economic_group_in_the_country,_created_the_Conservative_Party._Conservatives_favored_reaching_a_quick_peace_settlement_with_Chile_that_would_include_indemnification_for_lost_territories_and_enable_Bolivia_to_construct_a_railroad_for_mining_exports._The_Liberal_Party_denounced_the_pacifism_of_the_Conservatives._Despite_these_differences,_both_parties_were_primarily_interested_in_political_and_economic_modernization,_and_their_ideological_outlooks_were_similar._The_governments_in_power_elected_by_a_small,_literate_electorate_brought_Bolivia_its_first_relative_political_stability_and_prosperity.;;;;;;;;;;;;;
EVTNAME50007;Capital moves to La Paz;;;;;;;;;;;;;
EVTDESC50007;In_1898,_La_Paz_was_made_the_de_facto_seat_of_the_national_government,_with_Sucre_remaining_the_nominal_historical_as_well_as_judiciary_capital._This_change_reflected_the_shift_of_the_Bolivian_economy_away_from_the_largely_exhausted_silver_mines_of_Potosí_to_the_exploitation_of_tin_near_Oruro,_and_resulting_shifts_in_the_distribution_of_economic_and_political_power_among_various_national_elites._This_changed_marked_the_end_of_the_Conservative_Party_dominance_and_the_era_of_the_Liberal_Party_that_ruled_until_1920.;;;;;;;;;;;;;
EVTNAME50008;The Aristocratic Republic;;;;;;;;;;;;;
EVTDESC50008;In_$YEAR$,_Nicolás_de_Piérola,_after_allying_his_party_with_the_Civil_Party_of_Peru_to_organize_guerrillas_with_fighters_to_occupy_Lima,_ousted_Andrés_Avelino_Cáceres_and_once_again_became_president_of_Peru._After_a_brief_period_in_which_the_military_once_again_controlled_the_country,_civilian_rule_was_permanently_established_with_Pierola's_election._His_second_term_was_marked_by_his_reconstruction_of_a_devastated_Peru_by_initiating_fiscal,_military,_religious,_and_civil_reforms._Until_the_1920s,_this_period_was_called_the_"Aristocratic_Republic",_since_most_of_the_presidents_that_ruled_the_country_were_from_the_social_elite.;;;;;;;;;;;;;
EVTNAME50011;The September 11th Revolution;;;;;;;;;;;;;
EVTDESC50011;Urquiza_called_the_San_Nicolás_Agreement,_so_that_all_provinces_agreed_to_convene_the_1853_Constituent_Assembly._This_was_resisted_in_Buenos_Aires,_and_the_unitarians_took_advantage_of_a_temporary_absence_of_Urquiza_from_the_city_to_do_the_September_11_revolution_and_secede_Buenos_Aires_from_the_confederation._It_was_now_the_State_of_Buenos_Aires.;;;;;;;;;;;;;
EVTNAME50012;Buenos Aires enforces peace;;;;;;;;;;;;;
EVTDESC50012;Buenos_Aires_attempted_military_actions_against_the_Confederation,_to_prevent_the_work_of_the_Assembly,_but_failed._The_Argentine_Constitution_of_1853_was_sanctioned_on_May_1,_1853,_inviting_Buenos_Aires_to_return._Buenos_Aires_wrote_their_own_constitution_in_1854._Both_countries,_the_Confederation_and_the_State_of_Buenos_Aires,_accepted_the_status_quo,_with_a_serious_danger_of_becoming_a_definitive_secession.;;;;;;;;;;;;;
EVTNAME50013;War on Buenos Aires!;;;;;;;;;;;;;
EVTDESC50013;After_a_series_of_aggressions_by_both_sides,_the_Argentine-Buenos_Aires_war_started_again.;;;;;;;;;;;;;
EVTNAME50014;National Unification;;;;;;;;;;;;;
EVTDESC50014;Various_hostilities_between_the_Argentine_Confederation_and_the_State_of_Buenos_Aires_culminated_in_the_1861_Battle_of_Pavón,_and_to_victory_on_the_part_of_Mitre_and_Buenos_Aires_over_Urquiza's_national_forces._President_Santiago_Derqui,_who_had_been_backed_by_Urquiza,_resigned,_and_the_Argentine_Confederation_was_replaced_by_the_Argentine_Republic_on_December_17,_1861._Mitre,_who_despite_victory_reaffirmed_his_commitment_to_the_1860_constitutional_amendments,_was_elected_the_republic's_first_president_in_1862.;;;;;;;;;;;;;
EVTDESC599998;The_outbreak_of_War_with_the_Germans_brought_an_upsurge_of_patriotic_fervor_centered_on_the_tsar._The_Germanic_form_of_the_city's_name_was_changed_to_its_Russian_version._The_city_was_renamed_Petrograd,_meaning_"Peter's_City",_to_remove_the_German_word_"burg.";;;;;;;;;;;;;
EVTDESC599999;For_the_sake_of_stability,_tsarism_insisted_on_rigid_autocracy_that_effectively_shut_out_the_population_from_participation_in_government._At_the_same_time,_to_maintain_its_status_as_a_great_power,_it_promoted_industrial_development_and_higher_education,_which_were_inherently_dynamic._The_result_was_perpetual_tension_between_government_and_society,_especially_its_educated_element,_known_as_the_intelligentsia._This_tension_and_the_intelligentsia_publishing_works_criticizing_the_government,_the_hardships_of_war_and_the_technological_backwardness_of_Russia_that_was_demonstrated_during_the_defeat_at_the_Crimean_War_are_contributing_to_a_increase_in_militancy_and_consciousness_among_our_people._Socialist_and_Communists_ideals_are_spreading_among_the_urban_workers.;;;;;;;;;;;;;
EVTDESC600000;The_February_Revolution_of_1917_was_the_first_of_two_revolutions_in_Russia_in_1917._Centered_on_the_then_capital_Petrograd_(modern_day_St._Petersburg)_in_March_(late_February_in_the_Julian_calendar)._This_revolution_appeared_to_break_out_spontaneously,_without_any_real_leadership_or_formal_planning._Russia_had_been_suffering_from_a_number_of_economic_and_social_problems,_which_were_compounded_by_the_impact_of_World_War_I._Bread_rioters_and_industrial_strikers_were_joined_on_the_streets_by_disaffected_soldiers_from_the_city's_garrison._As_more_and_more_troops_deserted,_and_with_loyal_troops_away_at_the_Front,_the_city_fell_into_a_state_of_chaos,_leading...;;;;;;;;;;;;;
