Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
NAF_parliamentary_republic;Republic of New Africa;New Africa;New Africa;;;;;;;;;;;
NAF_conservative_99;Freemen Fellowship;Freemen Fellowship;Freemen Fellowship;;;;;;;;;;;
NAF_liberal_84;New Republicans;New Republican;New Republican;;;;;;;;;;;
NAF_liberal_85;Equality Party;Equality Party;Equality Party;;;;;;;;;;;
NAF_socialist_101;International Abolitionists;International Abolitionist;International Abolitionist;;;;;;;;;;;
NAF_reactionary_77;Isolationists;Isolationist;Isolationist;;;;;;;;;;;
NAF_radical_96;Radical Republicans;Radical Republicans;Radical Republicans;;;;;;;;;;;
NAF_socialist_100;Revolutionary People's Party;Revolutionary People's Party;Revolutionary People's Party;;;;;;;;;;;
NAF_fascist_81;Stono Party;Stono Party;Stono Party;;;;;;;;;;;
NAF_communist_89;Forty Acres Party;Forty Acres Party;Forty Acres Party;;;;;;;;;;;
NAF_selfdetermination_title;Self-Determination for African Americans?;;;;;;;;;;;;;
NAF_selfdetermination_desc;With communist revolution successful, there has been a great amount of discussion over the role of African Americans in this new era. Before achieving power, the Communist Party promised blacks the right of self-determination, whatever that might entail. Now it is time to reckon these promises.;;;;;;;;;;;;;
NAF_constitution_title;Constitution of New Africa;;;;;;;;;;;;;
NAF_constitution_desc;After centuries of oppression and enslavement, African Americans finally have a sovereign country to call their own. It is time to create a constitution and outline the future of New Africa!;;;;;;;;;;;;;
NAF_greater_title;The Manifest Destiny of New Africa;;;;;;;;;;;;;
NAF_greater_desc;Now that New Africa has secured its place in the world, we must decide how we shall expand. Some are calling for expeditions into the Caribbean. Although others are rallying for New Africa to secure the lands of our slave ancestors in the American South.;;;;;;;;;;;;;
NAF_HAI_title;Integrate Haiti;;;;;;;;;;;;;
NAF_HAI_desc;§RGain 2 infamy§! As the place of the first successful slave revolt in the New World, it is only natural that Haiti should join New Africa in its struggle for liberty.;;;;;;;;;;;;;
NAF_Tuskgee_title;Tuskegee Program;;;;;;;;;;;;;
NAF_Tuskgee_desc;The Tuskegee Program will found universities across New Africa and establish mass literacy initiatives for the population.;;;;;;;;;;;;;
NAF_Native_American_title;Seminole Act;;;;;;;;;;;;;
NAF_Native_American_desc;Seminole Indians and African Americans have a long and intertwined history. Many slaves fled to the Florida marshes and lived with the Seminole tribes before establishing in their own tribes composed of Seminoles and fugitive slaves. The government should offer citizenship to the Indians that remain in Florida.;;;;;;;;;;;;;
NAF_racialdebate_title;The Race Debate;;;;;;;;;;;;;
NAF_racialdebate_desc;Since the establishment of New Africa, there has existed a tense relationship between African Americans and White Americans. The more liberal parties have advocated for increased integration among the races; however, others argue doing so would destroy the black identity of the country.;;;;;;;;;;;;
NAF_start_title;Play as New Africa;;;;;;;;;;;;;
NAF_start_desc;This decision will allow you to play as New Africa and will secede the states of Louisiana and Mississippi to the republic. This decision will disappear after 1836.;;;;;;;;;;;;;
NAF_undo_integration_title;Undo White Integration;;;;;;;;;;;;;
NAF_undo_integration_desc;New Africa is for Africans. That must be understood and reflected through our citizenship policies.;;;;;;;;;;;;;
EVTDESC4413218;It_is_no_secret_that_America_has_a_troubled_history_regarding_the_enslavement_of_Africans._There_are_those_who_would_argue_that_only_through_providing_African_Americans_with_their_own_autonomous_region_will_the_wrongs_of_the_country's_past_be_corrected._However,_others_assert_that_doing_so_would_only_isolate_African_Americans_and_fail_to_properly_address_their_problems.;;;;;;;;;;;;;
EVTDESC44132189;The_next_step_in_the_formation_of_the_New_African_autonomous_region_is_establishing_its_borders._There_are_three_possibilities_of_varying_sizes,_each_larger_than_the_last.;;;;;;;;;;;;;
EVTDESC4413220;In_the_names_of_anti-imperialism,_communism,_and_self-determination,_the_People's_Union_of_New_Africa_has_been_formally_established._Time_will_tell_how_the_new_nation_will_fare.;;;;;;;;;;;;;
EVTDESC4413221;In_the_recent_years,_New_Africa_has_become_a_great_power_and_one_that,_many_argue,_should_expand._Plans_have_been_drafted_for_liberation_of_workers_of_the_rich_sugar_plantations_dotted_across_the_islands_of_the_Caribbean._Although_perhaps_the_destiny_of_New_Africa_rests_in_the_lands_of_the_American_South_where_our_enslaved_ancestors_once_toiled.;;;;;;;;;;;;;
EVTDESC4413222;A_recent_effort_has_been_made_in_New_Africa_to_integrate_the_black_and_white_population._Although_there_is_a_disagreement_as_to_what_extent_integration_should_be_attempted._While_it_is_agreeable_to_most_for_the_extension_of_rights_to_Northern_immigrants_or_so-called_Yankees,_there_is_a_great_deal_of_discomfort_at_the_thought_of_extending_rights_to_Southerners_that_once_practiced_slavery._No_matter_the_choice,_the_far_right_elements_are_bound_to_protest.;;;;;;;;;;;;;
underground_railroad_NAF;The National Underground Railroad Institute;;;;;;;;;;;;;
underground_railroad_NAF_desc;The National Underground Railroad Institute works to integrate escaped slaves into New Africa while also operating secret networks to free slaves across the South.;;;;;;;;;;;;;
EVTDESC44132223;Soon_after_its_establishment,_the_New_African_government_founded_the_National_Underground_Railroad_Institute._While_its_official_public_function_is_to_assist_with_the_settlement_of_escaped_slaves_into_New_Africa,_the_Institute,_as_suggested_by_its_less_than_subtle_name,_secretly_works_with_abolitionists_to_help_slaves_escape_bondage_from_the_American_South_and_flee_to_New_Africa._There_are_also_rumors_that_the_Institute_funds_and_organizes_slave_revolts;_however,_the_Institute_denies_such_accusations.;;;;;;;;;;;;
EVTDESC44132224;With_slavery_no_longer_the_menace_it_once_was,_The_National_Underground_Railroad_Institute_no_longer_has_a_purpose_and_as_such_as_has_been_officially_closed._The_headquarters_of_the_Institute_will_be_converted_into_a_museum_so_future_generations_may_learn_of_the_courageous_actions_Institute_conductors_undertook_in_the_name_of_liberty.;;;;;;;;;;;;;
NAF_ethnic_tensions;Racial Tensions;;;;;;;;;;;;;
NAF_Tuskegee_Uni;Tuskegee Institute;;;;;;;;;;;;;
NAF_Tuskegee_Uni_desc;The Tuskegee Institute serves as the leading voice of academic thought and scientific research in New Africa.;;;;;;;;;;;;;
EVTDESC44132225;New_Africa_is_a_nation_of_free_people_who_once_endured_systematic_violence_and_forced_servitude._Now_that_the_racial_hierarchy_of_power_has_inverted,_those_that_once_sat_at_the_top_are_resentful_of_their_current_low_standing._As_such,_racial_tensions_are_high_in_provinces_that_lack_a_black_majority.;;;;;;;;;;;;;
EVTDESC44132226;Due_to_the_lack_of_a_black_majority,_$PROVINCENAME$_is_experiencing_significant_racial_tensions_that_will_only_subside_as_more_African_Americans_and_other_accepted_cultures_settle_in_the_area._This_unrest_will_most_likely_spread_throughout_White_majority_provinces.;;;;;;;;;;;;;
EVTDESC44132227;As_racial_demographics_shift_in_$PROVINCENAME$,_once_notable_and_disruptive_racial_tensions_have_faded_into_the_background._Other_provinces_that_have_experienced_similar_population_changes_should_also_calm_down.;;;;;;;;;;;;;
EVTDESC44132228;A_man_of_both_African_and_Indian_heritage,_John_Horse_fought_alongside_Seminole_tribes_against_the_United_States_Army_during_the_Second_Seminole_War._He_garnered_a_reputation_as_a_skilled_scout_and_talented_negotiator,_and_Horse_soon_became_a_prominent_leader_among_the_Seminole_people._After_New_Africa_passed_the_Seminole_Act,_which_integrated_Indian_tribes_in_Florida,_John_Horse_offered_his_service_and_expertise_to_the_army_of_New_Africa.;;;;;;;;;;;;;
EVTDESC44132229;In_$YEAR$_onboard_the_brig_Creole,_Madison_Washington,_an_enslaved_cook,_led_his_fellow_slaves_in_a_revolt_against_their_captors_who_were_transporting_them_to_an_American_slave_market._After_killing_the_ship's_captain,_they_seized_control_of_the_vessel._Although_they_were_initially_planning_to_sail_for_Nassau,_they_have_instead_arrived_at_a_New_African_port._The_most_apparent_course_of_action_is_to_welcome_Washington_and_the_other_slaves_as_heroes._However,_doing_so_will_undoubtedly_enrage_the_United_States,_which_would_accuse_New_Africa_of_harboring_criminals.;;;;;;;;;;;;;
EVTDESC44132230;_Uncle_Remus:_His_Songs_and_His_Sayings_is_a_collection_of_African_American_folktales_that_author_Joel_Chandler_Harris_recalled_from_his_childhood_on_his_family's_plantation_in_Georgia._Although_New_Africa_has_since_liberated_Georgia,_many_Southern_whites,_like_Harris,_still_hold_on_dearly_to_their_memories_during_the_time_of_slavery,_and_as_such,_Harris's_book_has_quickly_become_a_best-seller_and_favorite_among_the_white_community_in_New_Africa._However,_the_character_of_Uncle_Remus_has_received_a_very_mixed_reaction_from_black_New_Africans._While_it_is_impossible_to_ignore_the_rich_collection_of_folklore_Harris_has_been_able_to_compile,_there_are_many,_especially_among_the_intellectual_class,_who_are_critical_of_what_they_believe_to_be_a_romanticization_of_slavery_and_accuse_Harris_of_cultural_theft._The_New_African_government_can_either_curtail_the_distribution_of_Harris's_work_or_allow_it_circulate_openly.;;;;;;;;;;;;;
EVTDESC44132231;Born_into_bondage_in_1818,_Fredrick_Douglass_escaped_slavery_at_a_young_age_and_fled_from_Maryland_to_New_Africa._He_has_quickly_gained_notoriety_for_his_skill_as_an_orator_and_controversy_for_his_staunch_support_of_racial_and_gender_equality._While_most_in_New_Africa_view_him_as_the_country's_most_important_statesman,_few_entirely_embrace_his_radical_proposal_for_the_greater_social_and_political_integration_of_whites_in_New_Africa._However,_his_most_recent_publication,_A_Narrative_of_New_Africa,_has_enticed_many_New_Africans_into_his_Equality_Party_and_led_to_an_increased_acceptance_of_the_notion_for_greater_equality_among_the_races.;;;;;;;;;;;;;
EVTDESC44132232;The_legend_of_John_Henry_is_the_tale_of_one_man_with_raw_strength_and_incredible_endurance_beating_a_steam-powered_machine_in_a_competition_to_drill_a_tunnel_through_a_mountain._Although_where_precisely_this_competition_occurred_and_whether_if_such_a_man_even_existed_is_debatable,_there_is_no_denying_that_John_Henry_has_become_an_inspiring_symbol_of_the_industrial_New_African_man._Additionally,_his_hammer-wielding_image_has_become_closely_associated_with_socialist_parties_and_trade_unions,_especially_those_composed_of_railway_workers.;;;;;;;;;;;;;
EVTDESC44132233;Prominent_academic_and_founder_of_the_Tuskegee_Institute_Booker_T._Washington_has_always_been_known_as_a_moderate_voice_in_New_African_politics,_and_he_frequently_opposes_war_waged_at_the_expense_of_various_domestic_reforms,_especially_those_related_to_education._Washington_recently_gave_a_speech_to_a_large_crowd_in_$CAPITAL$._In_the_speech,_he_called_for_the_development_of_greater_respect_and_the_reduction_of_tensions_between_whites_and_blacks_in_New_Africa._Furthermore,_Washington_argued_for_better_relations_between_New_Africa_and_the_United_States_and_proposed_a_compromise_in_which_New_Africa_would_cease_territorial_expansion_into_the_American_South_in_return_for_an_increase_in_trade_and_protection_from_the_United_States.;;;;;;;;;;;;;
FSA_NAF_revolt_USA_title;Fund a Slave Revolt in the South;;;;;;;;;;;;;
FSA_NAF_revolt_USA_desc;§RGain 2 infamy§! The Free States of America was founded on the principles of liberty and the abolition of slavery. It is time for us to turn those principles in into practices through funding and organizing a slave revolt in the South.;;;;;;;;;;;;;
FSA_NAF_revolt_CSA_title;Fund a Slave Revolt in the South;;;;;;;;;;;;;
FSA_NAF_revolt_CSA_desc;§RGain 2 infamy§! The Free States of America was founded on the principles of liberty and the abolition of slavery. It is time for us to turn those principles in into practices through funding and organizing a slave revolt in the South.;;;;;;;;;;;;;
EVTDESC44132234;Before_beginning_to_plan,_we_must_decide_how_much_money_and_supplies_to_devote_to_the_revolt._The_more_funds_we_commit,_the_more_likely_of_a_large_revolt_erupting._If_we_only_invest_a_small_amount,_then_there_is_a_lower_chance_of_a_successful_revolt.;;;;;;;;;;;;;
EVTDESC44132235;Now_that_slavery_has_been_abolished_in_the_Confederacy,_it_is_unnecessary_for_us_to_plan_and_organize_a_slave_revolt.;;;;;;;;;;;;;
EVTDESC44132236;Now_that_slavery_has_been_abolished_in_the_United_States,_it_is_unnecessary_for_us_to_plan_and_organize_a_slave_revolt.;;;;;;;;;;;;;
