Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
form_iberia_title;Create the Iberian Union;;;;;;;;;;;;;
form_iberia_desc;§RGain 15 infamy§! In order to better manage the Iberian peninsula, we will unify the nations of Spain and Portugal into one Iberian Union. Although such a drastic change in administration will result in chaos in the Spanish and Portuguese colonial empire.;;;;;;;;;;;;;
macau_transfer_title;Transfer Macau into $COUNTRY_ADJ$ Control;;;;;;;;;;;;;
macau_transfer_desc;In several ports, like Macau, local garrisons and sailors were able to preserve order during the colonial upheaval that followed the creation of the Iberian state. While most ports have been transferred to $COUNTRY_ADJ$ control, Macau has yet been properly transferred to the proper authorities.;;;;;;;;;;;;;
austrian_outside_italy_title;Organize Italy under strict Austrian Supervision;;;;;;;;;;;;;
austrian_outside_italy_desc;§RGain 15 infamy§! As Metternich said, "Italy is a geographical expression." That being said, it's an expression of strategic importance to $COUNTRY$. With the peninsula under our thumb, it might be time to reorganize the duchies and republics of Italy into more manageable kingdoms. We will also be able to cement our authority over Venice.;;;;;;;;;;;;;
FRA_SRD_claim_rebuke_title;Rebuke Sardinian Claims on Corsica.;;;;;;;;;;;;;
FRA_SRD_claim_rebuke_desc;After defeating the Sardinians in the latest war, France may finally correct the Sardinian Border Blunder caused by the Austrian imbeciles.;;;;;;;;;;;;;
EVTDESC72754;Although_$COUNTRY$_has_tried_to_control_the_Italian_peninsula_through_the_creation_of_Lombardy,_Sicily,_and_the_Papal_rump_state,_the_fires_of_Italian_nationalism_continue_to_burn._Many_in_Vienna_are_of_the_opinion_that_an_unified_Italy_is_impossible_to_avoid,_and_it_is_best_that_the_Italian_state_be_created_peacefully_through_$COUNTRY_ADJ$_guidance_rather_through_a_bloody_revolution._Others_argued_that_a_unified_Italy_will_quickly_grow_out_of_our_control._Either_way_a_decision_must_be_reached_on_what_to_do_with_Italy._The_question_then_arises_who_shall_rule_the_Italy._Should_it_be_Lombardy_in_the_north?_Perhaps_the_legacy_of_Austrian_rule_in_Milan_will_result_in_a_loyal_and_capable_subject?_On_the_other_hand,_the_rulers_of_Sicily_were_once_of_Habsburg_blood,_and_it_could_be_wise_to_keep_things_in_the_family._There_are_some_who_say_the_crown_should_to_neither_the_Lombards_nor_the_Sicilians,_but_rather_the_Holy_Father_himself_in_Rome._And_of_course_there_are_those_boring_old_sods_who_want_to_keep_the_status_quo.;;;;;;;;;;;;;
AUS_italy_crown_title;The Question of the Italian Crown;;;;;;;;;;;;;
AUS_italy_crown_desc;The time has come for $COUNTRY$ to face the growing tide of nationalism that has swept through the Italian peninsula. The crisis is coming to a head and a decision must be made on the future of Italy.;;;;;;;;;;;;;
csa_texas_title;Recognize Texan Independence;;;;;;;;;;;;;
csa_texas_desc;§GLose 5 infamy§! Some believe it would be rather hypocritical for the Confederacy, a nation founded on the ideals of state rights, to infringe upon the sovereignty of Texas.;;;;;;;;;;;;;
outside_SCA_title;Form Scandinavia;;;;;;;;;;;;;
outside_SCA_desc;§RGain 10 infamy§! With the Nordic states under our control, it might be time to recreate the Kalmar Union of old. A strong king in the North means a strong ally.;;;;;;;;;;;;;
outside_SCA_FIN_title;Unify Finland with Scandinavia;;;;;;;;;;;;;
outside_SCA_FIN_desc;It is only sensible that we join Finland with Scandinavia.;;;;;;;;;;;;;
outside_SCA_EST_title;Unify Estonia with Scandinavia;;;;;;;;;;;;;
outside_SCA_EST_desc;The Estonian's have petitioned to join Scandinavia. Perhaps we should indulge them.;;;;;;;;;;;;;
outside_SCA_KRL_title;Unify Karelia with Scandinavia;;;;;;;;;;;;;
outside_SCA_KRL_desc;It is for the best for Karelia to join Scandinavia.;;;;;;;;;;;;;
sacramento_austin_pact_title;The Sacramento-Austin Pact;;;;;;;;;;;;;
sacramento_austin_pact_desc;§RGain 10 infamy§! $COUNTRY$ is finally free from eastern oppression. The great states of Texas and California should join hands in taming the West...at the expense of the Mexicans and Mormons.;;;;;;;;;;;;;
PAP_restore_title;Restore the Pope Back onto His Holy Throne;;;;;;;;;;;;;
PAP_restore_desc;Now that order is restored in the Papal States, we can place his Majesty the Pope back onto his throne so he can continue the Lord's work. ;;;;;;;;;;;;;
EVTDESC72751;At_the_expense_of_most_of_their_colonial_possessions,_the_Iberian_Peninsula_is_under_firm_$COUNTRY_ADJ$_control._While_the_most_obvious_choice_is_to_have_Iberia_ruled_by_the_Spanish_majority_and_governed_in_the_centrally_located_city_of_Madrid,_there_are_arguments_to_be_made_in_favor_of_the_peninsula's_other_nationalities._In_contrast_to_Spanish_who_were_facing_revolts_both_Carlist_and_colonialist_alike,_Portugal_has_experienced_relative_stability._Perhaps_they_would_be_better_fit_to_administer_Iberia?_On_the_other_side_of_the_peninsula_are_the_Catalans._The_best_way_to_quell_their_nationalistic_tendencies_might_to_give_them_a_nation_look_after._There_are_some_who_argue_that_to_exert_control,_the_ruling_elite_must_be_kept_to_small_minority_and_have_therefore_recommended_the_Basque._One_more_thing_to_note,_is_a_letter_has_recently_been_received_petitioning_for_the_Galicians_although_this_might_be_some_sort_of_practical_joke.;;;;;;;;;;;;;
