Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
opened_frontiers;Opened Frontiers;;;;;;;;;;;;;
opened_frontiers_desc;Our recent declaration of dominion over southern Africa has prompted more settlers to come to our lands!;;;;;;;;;;;;;
mineral_revolution;Mineral Revolution;;;;;;;;;;;;;
EVTNAME6000;The Frontier is Lost;;;;;;;;;;;;;
EVTDESC6000;\n\nAs_we_have_lost_our_sparsely_populated_frontierlands_and_stature_on_the_world_stage,_we_will_not_longer_be_receiving_immigrants_in_nearly_the_numbers_we_once_did_when_ours_was_a_land_of_opportunity.;;;;;;;;;;;;;
EVT6000OPTA;Turn back the boat people.;;;;;;;;;;;;;
EVTNAME6001;Rename the Mozambican Provinces;;;;;;;;;;;;;
EVTDESC6001;Mozambique_is_no_longer_Portuguese,_and_as_such_should_no_longer_bear_a_Portuguese_name.;;;;;;;;;;;;;
EVT6001OPTA;Much better!;;;;;;;;;;;;;
EVT6001OPTB;A bit of local flavor never hurt.;;;;;;;;;;;;;
EVTNAME6002;Restoration of the Cape;;;;;;;;;;;;;
EVTDESC6002;We_have_retaken_the_Cape_colony_from_the_perfidious_British._It_is_time_to_restore_the_proper_names_of_these_provinces.;;;;;;;;;;;;;
EVT6002OPTA;An auspicious day for the Afrikaner people.;;;;;;;;;;;;;
EVTNAME6003;Settle Namibia?;;;;;;;;;;;;;
EVTDESC6003;\n\nWe_have_established_ourselves_as_a_formidable_regional_power._Should_we_take_the_strategic_Walvis_bay_in_Namibia_to_prevent_any_European_powers_from_challenging_us?;;;;;;;;;;;;;
EVT6003OPTA;Inform the natives of their new overlords at once.;;;;;;;;;;;;;
EVT6003OPTB;Let them have it if they wish, we've no use for that pathetic desert.;;;;;;;;;;;;;
EVTNAME6004;The British Question;;;;;;;;;;;;;
EVTDESC6004;\n\nWith_our_party's_aggressively_racialist_and_pro-Boer_stance,_the_British_population_of_our_country_has_become_apprehensive_about_what_their_status_in_the_new_order_shall_be.;;;;;;;;;;;;;
EVT6004OPTA;The time of retribution has come. §RGain 3 infamy§W;;;;;;;;;;;;;
EVT6004OPTB;Strip them of their rights as first-class citizens.;;;;;;;;;;;;;
EVT6004OPTC;We can forget the transgressions of the past.;;;;;;;;;;;;;
EVTNAME6041;The Proposed Union Between ZAR and Oranje;;;;;;;;;;;;;
EVTDESC6041;\n\nIn_$YEAR$_Marthinus_Pretorius_and_Paul_Kruger,_two_of_$COUNTRY$_most_esteemed_statement,_have_put_forth_the_motion_to_the_Volksraad_that_we_propose_a_confederation_between_ourselves_and_the_Oranje-Vrijstaat,_so_we_may_present_a_united_front_against_all_those_who_would_threaten_the_sovereignty_of_Die_Boere.;;;;;;;;;;;;;
EVT6041OPTA;Ja! Only when we Voortrekkers stand united can we be strong!;;;;;;;;;;;;;
EVT6041OPTB;Nee! We do not need them, we are stronger on our own!;;;;;;;;;;;;;
EVTNAME6005;The ZAR Proposes a Union;;;;;;;;;;;;;
EVTDESC6005;\n\nOur_government_has_long_been_reluctant_to_join_with_the_Zuid-Afrikaanische_Republiek_into_a_greater_Voortrekker_state,_but_given_their_prosperity,_it_may_be_best_for_our_people_to_accept.;;;;;;;;;;;;;
EVT6005OPTA;The Voortrekkers will stand united.;;;;;;;;;;;;;
EVT6005OPTB;It is the Orange 'Free' State for a reason. Decline their offer.;;;;;;;;;;;;;
EVTNAME6006;The Orange Free State Declines!;;;;;;;;;;;;;
EVTDESC6006;\n\nOur_counterparts_in_Oranje_have_declined_to_join_the_Zuid-Afrikaanische_Republiek._Some_in_the_Volksraad_propose_we_forcefully_incorporate_the_Oranje-Vrijstaat_into_the_Republic_for_the_greater_good,_others_argue_that_such_forceful_action_goes_against_the_very_freedoms_we_claim_to_uphold_and_will_vigorously_oppose_such_action._In_either_case_the_decision_is_sure_to_be_controversial.;;;;;;;;;;;;;
EVT6006OPTA;The Union will proceed, whether the Oranje-Vrijstaat wants it or not. §RGain 5 infamy§W;;;;;;;;;;;;;
EVT6006OPTB;In the name of freedom and self-determination, we should respect their decision.;;;;;;;;;;;;;
EVTNAME6007;South Africa United;;;;;;;;;;;;;
EVTDESC6007;\n\nWe_now_control_all_the_rightful_lands_of_South_Africa._All_must_now_recognize_our_indisputable_dominion_over_the_region.;;;;;;;;;;;;;
EVT6007OPTA;Wonderful.;;;;;;;;;;;;;
EVTNAME6008;The Mineral Revolution;;;;;;;;;;;;;
EVTDESC6008;\n\nWith_the_recent_boom_of_the_mining_industry_in_our_country,_our_economy_has_expanded_greatly._While_this_has_brought_us_prosperity,_it_has_also_fostered_yet_more_division_in_our_country._The_difference_between_urban_and_rural_has_become_more_pronounced,_and_the_natives_resent_being_even_further_marginalized.;;;;;;;;;;;;;
EVT6008OPTA;The winds of modernity sweep through our lands.;;;;;;;;;;;;;
EVTNAME6009;Solve the British Problem;;;;;;;;;;;;;
EVTDESC6009;\n\nThe_British_have_long_been_the_enemies_of_our_nation._The_time_has_come_to_remove_them.;;;;;;;;;;;;;
EVT6009OPTA;Extermination is our only option. §RGain 5 infamy§W;;;;;;;;;;;;;
EVT6009OPTB;Perhaps we should reconsider.;;;;;;;;;;;;;
EVTNAME6010;Rename Zululand-Natal;;;;;;;;;;;;;
EVTDESC6010;Natal_is_now_in_Afrikaner_hands,_it_is_time_to_give_the_provinces_more_fitting_names.;;;;;;;;;;;;;
EVT6010OPTA;An auspicious day for the Afrikaner people.;;;;;;;;;;;;;
EVTNAME6011;The Pioneer Column;;;;;;;;;;;;;
