schomburgkexplained;\n\nAbusing_flimsy_claims_of_inheritance_of_responsibilities_from_treaties_between_the_Spanish_and_the_Dutch,_Britain_has_occupied_Essequibo._With_our_recently_nascent_country_barely_posessing_an_army_of_note,_there_is_nothing_we_can_do_to_resist_the_Brits.;;;;;;;;;;;;;
LIBERTADORDEATH;\n\nAfter_resigning_from_the_presidency,_Bolívar_made_his_way_to_Cartagena_de_Indias_to_board_a_ship_and_settle_down_abroad._However,_he_rested_in_the_Customs_House_of_Santa_Marta_as_his_health_made_travel_difficult._As_his_condition_worsened,_he_needed_a_transfer_to_a_quieter_place_and_moved_to_a_farm_located_in_San_Pedro_Alejandrino_on_the_outskirts_of_the_city,_where_he_entered_the_full_care_of_his_trusted_family_doctor._Initially_optimistic,_both_he_and_his_doctor_eventually_recognized_the_severity_of_the_condition,_leading_to_Bolívar_writing_his_will_and_instructing_his_entourage_how_to_proceed_in_the_event_of_his_death._\nAfter_the_passage_of_morning_marked_by_an_increasing_decline_of_vital_signs,_the_silence_of_the_house's_main_hall,_occupied_by_the_aides,_military_leadership_of_the_Patriot_Army_and_Bolívar's_closest_friends,_was_interrupted_by_the_words_of_his_doctor_inviting_them_to_the_next_room_to_witness_the_great_liberator's_last_moments._Surrounded_by_his_entourage,_and_after_a_long_but_calm_agony,_Simón_Bolívar_died_at_1_PM,_3_minutes_and_55_seconds_on_Friday,_December_17,_1830.;;;;;;;;;;;;;
LIBERTADORSLASTWORDS;\n\n'Colombians:_You_have_witnessed_my_efforts_to_raise_freedom_where_tyranny_once_reigned._I_have_worked_with_selflessness,_abandoning_my_fortune_and_even_my_tranquility._I_separated_from_command_when_I_was_persuaded_that_you_distrusted_my_detachment._My_enemies_abused_your_credulity_and_they_trampled_on_what_is_most_sacred_to_me,_my_reputation_and_my_love_of_freedom._I_have_been_a_victim_of_my_persecutors,_who_have_led_me_to_the_doors_of_the_tomb._I_forgive_them._As_I_disappear_from_your_midst,_my_affection_tells_me_that_I_must_make_a_manifestato_of_my_last_wishes._I_do_not_aspire_to_any_other_glory_than_the_consolidation_of_Colombia._All_of_you_must_work_for_the_inestimable_good_of_the_Union:_The_people_obeying_the_government_to_be_free_from_anarchy,_the_ministers_of_the_sanctuary_directing_their_prayers_to_heaven,_and_the_military_using_their_sword_to_preserve_the_peace._Colombians!_My_last_wishes_are_for_the_happiness_of_the_country._If_my_death_contributes_to_the_end_of_the_parties_and_the_consolidation_of_the_Union,_I_shall_go_to_the_grave_in_peace.'__-Simón_Bolívar;;;;;;;;;;;;;
LIBERTADORRESIGNS;\n\nSince_1828,_Simón_Bolívar_has_attempted_to_deal_with_Gran_Colombia's_national_crises_and_keep_the_country_united_by_assuming_dictatorial_powers._At_present,_however,_has_finally_seen_that_this_course_of_action_has_not_kept_the_union_together,_but_divided_it_ever_more_severely._He_has_now_arrived_at_the_conclusion_that_it_would_be_best_for_Gran_Colombia_if_he,_El_Libertador,_resigned_and_left_the_presidency_to_an_heir_more_capable_of_resolving_national_division._This_course_of_action,_however,_risks_creating_ever_more_uncertainty._Gran_Colombia_was_founded_with_Bolívar_at_the_helm--his_name_is_a_byword_for_the_country_writ_large,_and_his_rule_has_been_integral_to_Colombia's_national_identiy._What_will_happen_to_the_nation_after_his_resignation?;;;;;;;;;;;;;
PANAMASECEDES;\n\nLed_by_the_traitorous_Colonel_Juan_Eligio_Alzuru,_Panama_has_declared_its_independence_following_the_example_of_Venezuela_and_Ecuador._However,_many_inhabitants_of_Panama_wish_to_remain_as_part_of_Colombia._Several_officers_have_already_voiced_their_opposition_to_Alzuru._It_wouldn't_be_far-fetched_to_expect_this_independence_movement_to_be_short-lived_unlike_those_in_Venezuela_and_Ecuador.;;;;;;;;;;;;;
ECUADORSECEDES;\n\nInformed_of_the_secession_of_Venezuela_and_Bolívar's_resignation,_the_assembly_of_the_district_of_the_South_has_declared_independence,_founding_the_state_of_Ecuador._The_departments_of_Quito,_Azuay_and_Guayaquil_are_now_under_the_supreme_rule_of_Juan_Jose_Flores,_the_head_of_government.;;;;;;;;;;;;;
VENEZUELASECEDES;\n\nMeeting_in_the_council_of_Valencia,_the_assembly_of_the_northern_district_chose_the_town_for_being_the_residence_of_hero_of_the_wars_against_Spain,_General_José_Antonio_Páez_who_has_been_agitating_against_the_government_of_Gran_Colombia_for_years._Additionally,_the_town_was_the_site_of_the_separatist_movement_La_Cosiata_that_occurred_between_1826_and_1829._While_the_assembly's_rhetoric_was_anti-Bolivarian_from_the_start,_once_it_had_been_informed_of_Bolívar's_resignation,_it_took_a_turn_for_a_worse._The_assembly_ultimately_ceremoniously_announced_its_independence_from_Gran_Colombia_as_the_state_of_Venezuela_under_the_leadership_of_General_Páez_himself.;;;;;;;;;;;;;
PANAMAQUESTION;\n\nGeneral_Tomás_Herrera_has_lead_a_counterrevolt_against_Juan_Eligio_Alzuru_to_put_an_end_to_Panamanian_independence_and_repatriate_to_Colombia._While_his_revolt_is_seeing_a_lot_of_success,_he_needs_the_support_of_the_people._The_question_lies_in_their_loyalty_to_Colombia._Will_they_work_towards_continued_self-sovereignty_or_reintegration_to_Colombia?;;;;;;;;;;;;;
PANAMAREJOINS;\n\nExecuted_by_General_Tomás_Hererra,_Alzuru's_revolt_is_no_more._Panama_has_returned_to_Colombian_rule_amid_much_jubilation._Many_hope_the_same_may_occur_in_Venezuela_or_Ecuador,_but_those_hopes_are_clearly_in_vain.;;;;;;;;;;;;;
ADMIRABLECONGRESS;\n\nSimón_Bolívar's_years_as_dictator_of_Gran_Colombia_have_done_the_union_no_good._His_unquestioned_reign_has_even_been_compared_by_many_to_that_of_the_kings_of_Spain._Recognizing_what_is_best_for_the_union,_he_has_called_for_a_new_constitutional_assembly_to_create_a_constitution_for_Gran_Colombia_in_a_last-ditch_effort_to_prevent_its_dissolution.;;;;;;;;;;;;;
