HAVE_MILITARY_SCORE_LESS_THAN;Have a lower Military Score than: ;Disposent d'un score militaire inférieur à :  ;Geringere militärische Punktzahl als ;;Tiene una puntuación militar menor que: ;;;;;;;;x;
STRATA_NEED_LESS_THAN;Needs fulfilled at less than;Besoins satisfaits à moins de;Erfüllte Bedürfnisse weniger als;;Necesidades satisfechas a menos de;;;;;;;;x;
STRATA_NEED_MORE_THAN;Needs fulfilled at least;Besoins satisfaits d'au moins;Erfüllte Bedürfnisse mindestens;;Necesidades satisfechas a;;;;;;;;x;
HAVE_LESS_POPS_WANTING_POLITICAL_REFORM_THAN;Less than $VAL$ want political reform.;Moins de $VAL$ souhaitent une réforme politique.;Weniger als $VAL$ wollen politische Reformen.;;Menos de $VAL$ quieren reformas políticas.;;;;;;;;x;
HAVE_MORE_POPS_WANTING_POLITICAL_REFORM_THAN;At least $VAL$ want political reform.;Au moins $VAL$ souhaitent une réforme politique.;Mindestens $VAL$ wollen politische Reformen.;;Al menos $VAL$ quieren reformas políticas.;;;;;;;;x;
HAVE_LESS_POPS_WANTING_SOCIAL_REFORM_THAN;Less than $VAL$ want social reform.;Moins de $VAL$ souhaitent une réforme sociale.;Weniger als $VAL$ wollen soziale Reformen.;;Menos de $VAL$ quieren reformas sociales.;;;;;;;;x;
HAVE_MORE_POPS_WANTING_SOCIAL_REFORM_THAN;At least $VAL$ want social reform.;Au moins $VAL$ souhaitent une réforme sociale.;Mindestens $VAL$ wollen soziale Reformen.;;Al menos $VAL$ quieren reformas sociales.;;;;;;;;x;
TECH_DAILY_LEADERSHIP_BASE_TOOLTIP;Monthly base leadership: §Y$VALUE$§W;Valeur de base mensuelle de Commandement  : §Y$VALUE$§W;Monatliche Basis-Anführerpunkte: §Y$VALUE$§W;;Liderazgo básico mensual: §Y$VALUE$§W;;;;;;;;x
TECH_DAILY_LEADERSHIP_TOTAL_TOOLTIP;Monthly leadership: §G+$VALUE$§W;Valeur mensuelle de Commandement : §G+$VALUE$§W;Monatliche Anführerpunkte: §G+$VALUE$§W;;Liderazgo mensual: §G+$VALUE$§W;;;;;;;;x
TECH_DAILY_LEADERSHIP_TOOLTIP;$POPTYPE$ provide §G$VALUE$§W leadership.\n (§Y$FRACTION$%§W of the population, $OPTIMAL$% is optimal.);§Y$POPTYPE$§W donnent §G$VALUE$§W de valeur de Commandement.\n(§Y$FRACTION$ %§W de la population, $OPTIMAL$ % est optimal);$POPTYPE$ erbringen §G$VALUE$§W Anführerpunkte.\n(§Y$FRACTION$%§W der Bevölkerung, $OPTIMAL$% ist optimal);;Los $POPTYPE$ proporcionan §G$VALUE$§W de liderazgo.\n (§Y$FRACTION$%§W de la población, el valor óptimo es $OPTIMAL$%.);;;;;;;;x
MODIFIER_CORE_POP_MILITANCY_MODIFIER;Militancy in Non-Colonial;Militantisme des États non coloniaux;Militanz in Nicht-Koloniestaat;;Militancia en provincias no coloniales;;;;;;;;x
MODIFIER_CORE_POP_CONSCIOUSNESS_MODIFIER;Consciousness in Non-Colonial;Conscience nationale des États non coloniaux;Bewusstsein in Nicht-Koloniestaat;;Conciencia en provincias no coloniales;;;;;;;;x
MODIFIER_NON_ACCEPTED_POP_MILITANCY_MODIFIER;Militancy for Non-Accepted;Militantisme des cultures non acceptées;Militanz für nicht akzeptierte Kulturen;;Militancia de culturas no aceptadas;;;;;;;;x
MODIFIER_NON_ACCEPTED_POP_CONSCIOUSNESS_MODIFIER;Consciousness for Non-Accepted;Conscience nationale des cultures non acceptées;Bewusstsein für nicht akzeptierte Kulturen;;Conciencia de culturas no aceptadas;;;;;;;;x
AUS_734;Südtirol;Tyrol du Sud;Südtirol;;Tirol Meridional;;;;;;;;x
EVTNAME23212;Comet Sighted;Comète aperçue;Komet gesichtet;;Cometa avistado;;;;;;;;x
EVTDESC23212;\n\nA_Comet_was_sighted_in_the_sky,_some_believe_that_this_portends_fell_times_ahead._Others_believe_that_they_are_in_fact_pixie_fairies_floating_in_the_sky._There_are_also_those_who_believe_that_this_comet_is_most_probably_a_giant_ball_of_ice_floating_through_the_sky_and_the_long_tail_is_created_due_to_the_energy_of_the_sun._The_arguments_amongst_the_three_equally_viable_theories_is_stimulating_the_pursuit_of_knowledge_in_our_country.;Une_comète_a_été_aperçue_dans_le_ciel,_ce_qui_selon_certains_augure_de_temps_difficiles._D'autres_croient_qu'il_s'agit_en_fait_de_fées_qui_flottent_dans_le_ciel._Puis,_il_y_a_ceux_qui_pensent_que_cette_comète_est,_vraisemblablement,_une_boule_de_glace_géante_qui_traverse_le_ciel_et_dont_la_longue_queue_résulte_de_l'énergie_solaire._Les_discussions_liées_à_ces_trois_théories_viables_stimulent_la_soif_de_connaissance_de_notre_pays.;Am_Nachthimmel_wurde_ein_Komet_gesichtet,_und_manche_sehen_darin_ein_Omen_für_die_Zukunft._Andere_dagegen_glauben,_dass_Kometen_Feen_sind,_die_am_Himmel_schweben,_aber_es_gibt_auch_solche,_die_einen_Komet_für_nichts_als_einen_riesigen_Eisball_halten,_der_durch_den_Himmel_zieht,_und_dessen_langer_Schweif_von_der_Sonnenenergie_erzeugt_wird._Die_Argumente_dieser_drei_Denkansätze_stimulieren_in_unserem_Land_das_Streben_nach_Wissen.;;Han_avistado_un_cometa_en_el_cielo_y_algunos_aseguran_que_esto_presagia_malos_tiempos._Otros_creen_que_se_trata_de_la_acción_de_las_hadas_y_los_duendes_que_viven_en_el_cielo._E_incluso_hay_algunos_que_piensan_que_el_cometa_podría_ser_una_bola_de_hielo_gigantesca_que_flota_por_el_cielo,_seguido_por_una_larga_cola_creada_por_la_energía_del_sol._Las_discusiones_entre_estas_tres_teorías_igualmente_plausibles_están_estimulando_la_búsqueda_del_conocimiento_en_nuestro_país.;;;;;;;;x
EVTOPTA23212;Thank God we live in such enlightened times;Dieu merci, nous vivons une période des plus éclairées.;Gott sei Dank leben wir in solch aufgeklärten Zeiten!;;Demos gracias a Dios por vivir en estos tiempos de iluminación;;;;;;;;x  ;
EVTNAME60140;Constitutional Convention;Convention constitutionnelle;Konstitutionelle Verfassung;;Convención constitucional;;;;;;;;x  ;
